Source,Title,Company,Location,Link
LinkedIn,Software Development Intern - Fall 2025,"DMA - DuCharme, McMillen & Associates, Inc.","Fort Wayne, IN",https://www.linkedin.com/jobs/view/software-development-intern-fall-2025-at-dma-ducharme-mcmillen-associates-inc-4255195004?position=1&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=Tm0l3Dm6GTiwD8cPKX8KIQ%3D%3D
LinkedIn,Software Engineering Intern/Co-Op (Graduate | Fall 2025 | Hybrid),AMD,"San Jose, CA",https://www.linkedin.com/jobs/view/software-engineering-intern-co-op-graduate-fall-2025-hybrid-at-amd-4205002975?position=2&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=RI1XsveKDYydP4vg9ssboA%3D%3D
LinkedIn,Software Engineering Co-op (July-December),Imprivata,"Waltham, MA",https://www.linkedin.com/jobs/view/software-engineering-co-op-july-december-at-imprivata-4247069012?position=3&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=eV%2BXvctnOEOPzJs6vYw1mw%3D%3D
LinkedIn,Student Programmer,"Associated Students Inc., CSUF","Fullerton, CA",https://www.linkedin.com/jobs/view/student-programmer-at-associated-students-inc-csuf-4257253582?position=4&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=njJtrWZN0hx0fcm%2BigYreA%3D%3D
LinkedIn,Software Engineer Intern (Hong Kong based) (2025 In-take),Bowtie Life Insurance Company,"Wan Chai District, Hong Kong SAR",https://hk.linkedin.com/jobs/view/software-engineer-intern-hong-kong-based-2025-in-take-at-bowtie-life-insurance-company-4152859944?position=5&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=W00MHgNVqcDM3%2FR%2B7dNVwA%3D%3D
LinkedIn,"Software Engineering Intern/Co-Op (Undergrad | Fall, 2025 | Onsite/Hybrid | 4 months)",AMD,"Vancouver, British Columbia, Canada",https://ca.linkedin.com/jobs/view/software-engineering-intern-co-op-undergrad-fall-2025-onsite-hybrid-4-months-at-amd-4233423189?position=6&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=Dfua9f%2Bzs0mMjhQMJpmmKw%3D%3D
LinkedIn,Audio Software Engineering Intern,Dolby OptiView,"San Francisco, CA",https://www.linkedin.com/jobs/view/audio-software-engineering-intern-at-dolby-optiview-4252849812?position=7&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=JLgE5JXL91hHr6Ejf3Gjbg%3D%3D
LinkedIn,Software Engineer Internship,Tesla,"Amsterdam, North Holland, Netherlands",https://nl.linkedin.com/jobs/view/software-engineer-internship-at-tesla-4243446288?position=8&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=8JzbPGKCEgVxUVTlMDNKaQ%3D%3D
LinkedIn,"Software Development Engineer Internship - Vaga para mulheres, Amazon University Talent Acquisition",Amazon,Greater São Paulo Area,https://br.linkedin.com/jobs/view/software-development-engineer-internship-vaga-para-mulheres-amazon-university-talent-acquisition-at-amazon-4253468444?position=9&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=RTcgiKpYJYAocwhpzDTtCg%3D%3D
LinkedIn,Software Developer Co-Op (Procurement),Euna Solutions,"Oakville, Ontario, Canada",https://ca.linkedin.com/jobs/view/software-developer-co-op-procurement-at-euna-solutions-4250747516?position=10&pageNum=0&refId=mnNfL9R9UQAkB3a2Bfc1NQ%3D%3D&trackingId=RqMFsBW5FB0UGNeEhHhN2A%3D%3D
